time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase,CO_bkg,PM_bkg,CO2_bkg
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,ppm,Mm^-1,ppm
20230605 13:22:05,7847.0,132.12211152360516,28.64256,26.39983090128755,14545.0,26.5728,344.1,2708.64,2616.984,5077.005364806867,38.0,19513.557002314814,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:07,7849.0,131.53841652360515,28.64256,26.602630901287554,14737.0,26.55744,344.20000000000005,2706.55,2607.864,5062.005364806867,38.0,19513.557025462964,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:09,7851.0,131.02339152360514,28.64256,25.115430901287553,14646.0,26.5728,344.5,2707.386,2619.7200000000003,5085.005364806867,38.0,19513.55704861111,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:11,7853.0,130.64570652360516,28.6656,33.971030901287556,14444.0,26.538240000000002,344.6,2704.46,2638.416,5015.005364806867,38.0,19513.55707175926,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:13,7855.0,130.85171652360515,28.6464,28.292630901287552,14669.0,26.5728,344.8,2706.55,2639.3280000000004,5024.005364806867,38.0,19513.557094907406,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:15,7857.0,131.33240652360513,28.6464,28.968630901287554,14933.0,26.56128,344.8,2705.2960000000003,2657.5679999999998,5001.005364806867,38.0,19513.557118055556,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:17,7859.0,131.81309652360514,28.631040000000002,25.385830901287555,14636.0,26.58048,344.90000000000003,2706.132,2641.608,4962.005364806867,38.0,19513.557141203702,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:19,7861.0,132.08777652360516,28.63488,29.779830901287554,14625.0,26.58048,344.8,2706.132,2631.1200000000003,4939.005364806867,38.0,19513.557164351852,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:21,7863.0,132.05344152360513,28.65408,26.805430901287558,14635.0,26.56128,344.6,2705.2960000000003,2637.5040000000004,4953.005364806867,38.0,19513.5571875,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:23,7865.0,131.22940152360513,28.66176,29.306630901287555,14618.0,26.57664,344.3,2704.878,2658.0240000000003,4953.005364806867,38.0,19513.55721064815,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:25,7867.0,130.13068152360515,28.66944,25.723830901287556,14659.0,26.56512,344.3,2706.9680000000003,2637.0480000000002,4978.005364806867,38.0,19513.557233796295,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:27,7869.0,128.61994152360515,28.677120000000002,24.371830901287552,14632.0,26.5728,344.3,2706.132,2647.992,4978.005364806867,38.0,19513.557256944445,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:29,7871.0,127.00619652360514,28.66176,22.47903090128755,14617.0,26.56512,344.5,2706.132,2680.8240000000005,4923.005364806867,38.0,19513.55728009259,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:31,7873.0,125.35811652360515,28.66944,21.938230901287554,14715.0,26.592000000000002,344.8,2706.132,2636.592,4923.005364806867,38.0,19513.55730324074,none,-1.37443152360515,2.803369098712446,869.994635193133
